experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_PCA100_poly_C10_g0.01_d4,MNIST,100,70.32647,poly,10.0,0.01,4.0,96.78,42958.993911743164,11529
MNIST_PCA100_rbf_C0.1_gscale,MNIST,100,70.32647,rbf,0.1,scale,,94.53,114527.93884277344,22309
MNIST_PCA100_rbf_C0.1_gauto,MNIST,100,70.32647,rbf,0.1,auto,,85.36,254566.9231414795,32125
MNIST_PCA100_rbf_C0.1_g0.001,MNIST,100,70.32647,rbf,0.1,0.001,,93.73,90758.06093215942,24353
MNIST_PCA100_rbf_C0.1_g0.01,MNIST,100,70.32647,rbf,0.1,0.01,,85.36,289005.8271884918,32125
MNIST_PCA100_rbf_C1_gscale,MNIST,100,70.32647,rbf,1.0,scale,,97.11999999999999,61832.321643829346,12891
MNIST_PCA100_rbf_C1_gauto,MNIST,100,70.32647,rbf,1.0,auto,,94.48,208452.63195037842,23943
MNIST_PCA100_rbf_C1_g0.001,MNIST,100,70.32647,rbf,1.0,0.001,,96.41999999999999,65134.35077667236,13362
MNIST_PCA100_rbf_C1_g0.01,MNIST,100,70.32647,rbf,1.0,0.01,,94.48,217712.94283866882,23943
MNIST_PCA100_rbf_C10_gscale,MNIST,100,70.32647,rbf,10.0,scale,,97.78999999999999,36192.577838897705,10562
MNIST_PCA100_rbf_C10_gauto,MNIST,100,70.32647,rbf,10.0,auto,,94.81,232910.09640693665,24104
MNIST_PCA100_rbf_C10_g0.001,MNIST,100,70.32647,rbf,10.0,0.001,,97.72999999999999,44447.02959060669,9300
MNIST_PCA100_rbf_C10_g0.01,MNIST,100,70.32647,rbf,10.0,0.01,,94.81,198898.1213569641,24104
MNIST_PCA150_poly_C0.1_gscale_d2,MNIST,150,80.00833,poly,0.1,scale,2.0,94.99,133127.80261039734,26823
MNIST_PCA150_poly_C0.1_gscale_d3,MNIST,150,80.00833,poly,0.1,scale,3.0,90.98,251830.09886741638,33896
MNIST_PCA150_poly_C0.1_gscale_d4,MNIST,150,80.00833,poly,0.1,scale,4.0,75.73,431572.2060203552,42732
MNIST_PCA150_poly_C0.1_gauto_d2,MNIST,150,80.00833,poly,0.1,auto,2.0,97.38,56650.18033981323,12922
MNIST_PCA150_poly_C0.1_gauto_d3,MNIST,150,80.00833,poly,0.1,auto,3.0,97.58,65040.263175964355,12369
MNIST_PCA150_poly_C0.1_gauto_d4,MNIST,150,80.00833,poly,0.1,auto,4.0,96.76,89844.18487548828,13923
MNIST_PCA150_poly_C0.1_g0.001_d2,MNIST,150,80.00833,poly,0.1,0.001,2.0,92.01,297553.25055122375,36522
MNIST_PCA150_poly_C0.1_g0.001_d3,MNIST,150,80.00833,poly,0.1,0.001,3.0,73.7,521363.41881752014,48386
MNIST_PCA150_poly_C0.1_g0.001_d4,MNIST,150,80.00833,poly,0.1,0.001,4.0,30.869999999999997,612972.8515148163,53510
MNIST_PCA150_poly_C0.1_g0.01_d2,MNIST,150,80.00833,poly,0.1,0.01,2.0,97.71,45936.56539916992,11091
MNIST_PCA150_poly_C0.1_g0.01_d3,MNIST,150,80.00833,poly,0.1,0.01,3.0,97.78,48099.31397438049,11090
MNIST_PCA150_poly_C0.1_g0.01_d4,MNIST,150,80.00833,poly,0.1,0.01,4.0,96.98,61278.470516204834,12895
MNIST_PCA150_poly_C1_gscale_d2,MNIST,150,80.00833,poly,1.0,scale,2.0,97.21,50814.40830230713,14020
MNIST_PCA150_poly_C1_gscale_d3,MNIST,150,80.00833,poly,1.0,scale,3.0,96.49,79408.72931480408,17715
MNIST_PCA150_poly_C1_gscale_d4,MNIST,150,80.00833,poly,1.0,scale,4.0,92.44,183549.7362613678,25232
MNIST_PCA150_poly_C1_gauto_d2,MNIST,150,80.00833,poly,1.0,auto,2.0,97.64,27253.892183303833,9404
MNIST_PCA150_poly_C1_gauto_d3,MNIST,150,80.00833,poly,1.0,auto,3.0,97.78999999999999,40364.55321311951,10788
MNIST_PCA150_poly_C1_gauto_d4,MNIST,150,80.00833,poly,1.0,auto,4.0,96.92,74621.59490585327,12826
MNIST_PCA150_poly_C1_g0.001_d2,MNIST,150,80.00833,poly,1.0,0.001,2.0,96.61,102977.03504562378,19012
MNIST_PCA150_poly_C1_g0.001_d3,MNIST,150,80.00833,poly,1.0,0.001,3.0,93.61,223527.3790359497,28396
MNIST_PCA150_poly_C1_g0.001_d4,MNIST,150,80.00833,poly,1.0,0.001,4.0,76.57000000000001,395749.276638031,42172
