experiment,dataset,model,batch_size,optimizer,learning_rate,pin_memory,epochs,test_acc,best_val_acc,final_train_acc,training_time_sec
FashionMNIST_ResNet-18_BS32_Adam_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-18,32,Adam,0.001,True,2,83.35714285714286,82.31428571428572,85.27755102040817,74.77671194076538
FashionMNIST_ResNet-18_BS32_Adam_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-18,32,Adam,0.001,True,5,89.57857142857142,89.31428571428572,89.16734693877551,181.0028829574585
FashionMNIST_ResNet-18_BS32_Adam_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-18,32,Adam,0.0001,False,2,87.50714285714285,87.3,87.98775510204082,91.72461867332458
FashionMNIST_ResNet-18_BS32_Adam_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-18,32,Adam,0.0001,False,5,91.8,91.64285714285714,91.25714285714285,220.03815627098083
FashionMNIST_ResNet-18_BS32_Adam_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-18,32,Adam,0.0001,True,2,87.32857142857142,87.2,88.00408163265305,75.12481093406677
FashionMNIST_ResNet-18_BS32_Adam_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-18,32,Adam,0.0001,True,5,91.42857142857143,91.6,91.21632653061225,179.24412202835083
FashionMNIST_ResNet-50_BS16_SGD_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-50,16,SGD,0.001,False,2,79.38571428571429,78.84285714285714,81.36530612244898,211.98679184913635
FashionMNIST_ResNet-50_BS16_SGD_LR0.001_PMFalse_EP5,FashionMNIST,ResNet-50,16,SGD,0.001,False,5,89.62857142857143,89.37142857142857,88.18571428571428,512.1623573303223
FashionMNIST_ResNet-50_BS16_SGD_LR0.001_PMTrue_EP2,FashionMNIST,ResNet-50,16,SGD,0.001,True,2,79.98571428571428,80.3,80.74897959183673,186.3084900379181
FashionMNIST_ResNet-50_BS16_SGD_LR0.001_PMTrue_EP5,FashionMNIST,ResNet-50,16,SGD,0.001,True,5,89.97857142857143,89.71428571428571,88.37551020408164,453.46248054504395
FashionMNIST_ResNet-50_BS16_SGD_LR0.0001_PMFalse_EP2,FashionMNIST,ResNet-50,16,SGD,0.0001,False,2,71.00714285714285,71.4,61.748979591836736,211.56805324554443
FashionMNIST_ResNet-50_BS16_SGD_LR0.0001_PMFalse_EP5,FashionMNIST,ResNet-50,16,SGD,0.0001,False,5,78.7,79.17142857142858,76.20408163265306,516.047768831253
FashionMNIST_ResNet-50_BS16_SGD_LR0.0001_PMTrue_EP2,FashionMNIST,ResNet-50,16,SGD,0.0001,True,2,70.14285714285714,70.81428571428572,61.82857142857143,187.30354404449463
FashionMNIST_ResNet-50_BS16_SGD_LR0.0001_PMTrue_EP5,FashionMNIST,ResNet-50,16,SGD,0.0001,True,5,78.33571428571429,78.01428571428572,76.22857142857143,458.2975959777832
